,name,price,desc
0,Name not found,Price not found,Description not found
1,"TRIGGR Ultrabuds N1 Neo with ENC, 40Hr Playback, 13mm Drivers, Rich Bass, Fast Charging Bluetooth  (Jungle Green, In the Ear)",₹599,"Buy TRIGGR Ultrabuds N1 Neo with ENC, 40Hr Playback, 13mm Drivers, Rich Bass, Fast Charging Bluetooth for Rs.2999 Online, Also get TRIGGR Ultrabuds N1 Neo with ENC, 40Hr Playback, 13mm Drivers, Rich Bass, Fast Charging Bluetooth Specs & Features. Only Genuine Products. 30 Day Replacement Guarantee. Free Shipping. Cash On Delivery!"
2,"boAt Airdopes 161/163 with ASAP Charge & 40 HRS Playback Bluetooth  (Pebble Black, True Wireless)",₹899,"Buy boAt Airdopes 161/163 with ASAP Charge & 40 HRS Playback Bluetooth for Rs.2490 Online, Also get boAt Airdopes 161/163 with ASAP Charge & 40 HRS Playback Bluetooth Specs & Features. Only Genuine Products. 30 Day Replacement Guarantee. Free Shipping. Cash On Delivery!"
3,"boAt Airdopes 131 with upto 60 hours and ASAP Charge Bluetooth  (Midnight Blue, True Wireless)",₹699,"Buy boAt Airdopes 131 with upto 60 hours and ASAP Charge Bluetooth for Rs.2990 Online, Also get boAt Airdopes 131 with upto 60 hours and ASAP Charge Bluetooth Specs & Features. Only Genuine Products. 30 Day Replacement Guarantee. Free Shipping. Cash On Delivery!"
4,"Noise Buds VS102 with 50 Hrs Playtime, 11mm Driver, IPX5 and Unique Flybird Design Bluetooth  (Jet Black, True Wireless)","₹1,199","Buy Noise Buds VS102 with 50 Hrs Playtime, 11mm Driver, IPX5 and Unique Flybird Design Bluetooth for Rs.2999 Online, Also get Noise Buds VS102 with 50 Hrs Playtime, 11mm Driver, IPX5 and Unique Flybird Design Bluetooth Specs & Features. Only Genuine Products. 30 Day Replacement Guarantee. Free Shipping. Cash On Delivery!"
